date,time,DsWrocWybCon,LdLodzGdansk,MpKrakAlKras,MzWarMarszal,PdBialWaszyn,PmGdaLeczk08,SlKatoKossut,WmOlsPuszkin,WpPoznPolank,ZpSzczAndr01
160101,08:00,64.7542,70.0,224.785,35.4392,33.0,30.2119,107.071,32.585,93.6863,32.386
160101,16:00,82.954,89.0,131.913,28.7576,9.0,18.5756,111.278,25.3703,,62.3412
160102,00:00,75.5341,24.0,49.7087,19.3616,7.0,11.9531,76.354,16.8978,86.2161,68.687
160102,08:00,29.1537,10.0,38.5454,19.988,22.0,6.0648,38.8847,14.8588,42.4,39.807
160102,16:00,35.8947,32.0,49.6556,30.428,13.0,7.99583,45.9944,19.5162,21.0984,22.259
160103,00:00,40.772,27.0,39.9977,36.692,23.0,11.8911,43.1921,33.1296,28.7,22.1598
160103,08:00,,29.0,36.1739,40.5548,19.0,13.5375,,39.3551,27.7763,27.5042
160103,16:00,,49.0,57.9194,61.5392,37.0,15.0308,,44.3451,29.9,28.1897
160104,00:00,61.3832,43.0,69.6246,65.2976,,23.1183,,51.3044,45.396,46.1561
160104,08:00,68.4922,35.0,75.4133,52.1432,,25.9744,,,45.011,40.3057
160104,16:00,111.717,,83.8172,72.3968,20.0,17.3431,129.135,,55.6587,38.6658
160105,00:00,111.458,,93.5226,78.6608,48.0,22.8608,151.356,,71.3337,50.1031
160105,08:00,71.0439,,96.8985,66.7592,36.0,23.5651,109.19,,74.0377,56.023
160105,16:00,74.9065,,127.34,81.062,36.0,38.4214,89.4734,,85.1877,46.9179
160106,00:00,108.646,109.0,120.456,117.08,53.0,47.2761,202.308,,86.4417,78.8042
160106,08:00,110.615,93.0,105.865,73.232,37.0,42.5869,142.606,,87.9097,89.8423
160106,16:00,123.467,128.0,113.998,80.2268,49.0,48.7167,138.754,,105.925,63.0732
160107,00:00,167.068,95.0,106.858,60.5996,43.0,28.6331,231.623,,97.245,115.576
160107,08:00,113.28,72.0,96.399,48.9068,52.0,15.4714,213.19,,66.5823,83.5861
160107,16:00,138.688,81.0,102.354,66.6548,48.0,16.68,173.358,,82.4117,56.4542
160108,00:00,163.627,56.0,69.3493,95.8868,42.0,32.1997,39.0,,83.52,92.4209
160108,08:00,61.3369,39.0,67.0829,59.0336,43.0,23.2261,65.3316,,,89.6299
160108,16:00,22.0314,65.0,31.1675,63.314,45.0,33.3628,25.9196,53.7409,43.48,1.1784
160109,00:00,29.5943,21.0,89.1737,29.5928,60.0,57.8167,24.7033,75.198,16.9583,20.0328
160109,08:00,40.2812,6.0,96.8859,29.6972,28.0,1.94528,63.324,18.4536,15.8,30.0419
160109,16:00,99.5311,95.0,83.993,33.038,31.0,21.9853,45.1462,30.7513,23.834,17.8472
160110,00:00,128.728,55.0,90.5886,89.7272,41.0,47.7708,,49.7841,38.0457,35.406
160110,08:00,,50.0,66.7311,57.9896,29.0,10.6628,,28.8623,49.6977,39.8602
160110,16:00,90.4256,55.0,70.986,45.6704,23.0,18.2628,,29.4145,78.6,63.1263
160111,00:00,,40.0,76.235,30.6368,15.0,20.7222,,20.6008,118.053,46.521
160111,08:00,32.8862,,70.6924,36.0656,18.0,23.8458,,21.2355,96.8983,43.8285
160111,16:00,61.1546,109.0,117.292,61.9568,11.0,28.0753,187.75,30.2267,97.116,25.3474
160112,00:00,54.7941,132.0,139.377,82.9412,,47.45,78.3345,26.3662,95.6247,28.6604
160112,08:00,34.2912,44.0,18.0087,54.7532,17.0,6.00667,22.4145,16.1642,60.7253,36.2696
160112,16:00,18.1054,28.0,14.1518,35.8568,29.0,13.926,22.7405,22.2719,44.2642,31.9306
160113,00:00,21.8842,45.0,39.405,34.9172,23.0,19.3531,35.222,27.0736,79.8033,21.0317
160113,08:00,17.8839,15.0,25.5405,39.4064,35.0,16.7269,24.0948,27.212,28.7,14.0543
160113,16:00,12.7083,40.0,20.9556,34.4996,45.0,8.99139,16.4622,9.09236,27.5951,14.9529
160114,00:00,11.4906,16.0,30.7934,24.0596,11.0,5.81639,23.0,15.5012,13.9068,12.2284
160114,08:00,22.9157,9.0,20.147,13.202,9.0,7.62278,17.8917,7.28039,12.4686,11.7696
160114,16:00,14.616,64.0,44.375,34.3952,11.0,18.264,28.4755,19.7696,29.3342,10.5283
160115,00:00,69.8424,60.0,86.305,58.9292,38.0,37.6403,59.2821,38.2905,60.0261,26.0731
160115,08:00,51.4247,48.0,61.419,61.226,56.0,17.6375,58.63,44.8493,60.454,31.7013
160115,16:00,37.772,,42.1977,69.9956,41.0,41.4117,21.0184,40.584,77.4175,40.1083
160116,00:00,33.4548,42.0,54.014,54.2312,40.0,9.18444,63.3116,37.6024,,36.4365
160116,08:00,19.0792,24.0,25.2095,36.7964,18.0,7.57889,29.0356,21.197,31.4515,21.1504
160116,16:00,,40.0,31.842,22.9112,30.0,14.5881,36.802,32.2067,22.3,13.9864
160117,00:00,28.8747,56.0,91.3077,91.1888,70.0,25.2103,136.921,73.2377,49.2183,36.8874
160117,08:00,72.5347,32.0,31.5214,90.458,52.0,12.3044,75.1494,28.4792,30.9,54.0843
160117,16:00,16.5123,50.0,29.2685,100.0628,40.0,9.86167,43.2058,30.9285,29.38,
160118,00:00,77.8012,53.0,73.5021,70.5176,63.0,17.6061,77.9249,32.7223,60.685,16.9568
160118,08:00,45.574,59.0,101.505,57.8852,67.0,12.4747,56.2641,42.8303,38.5,
160118,16:00,25.1223,78.0,49.3615,84.5072,46.0,9.41944,43.2225,31.5854,16.9269,15.0427
160119,00:00,70.1936,59.0,134.424,99.2276,100.0,16.4294,64.4235,42.4619,69.2182,16.6744
160119,08:00,172.975,56.0,49.806,,,10.9125,81.4444,36.5243,106.185,17.8195
160119,16:00,47.8288,73.0,91.5003,62.1656,44.0,7.82056,66.9398,55.4767,75.8587,10.8304
160120,00:00,68.9982,141.0,90.1872,66.968,65.0,17.0172,175.127,49.7811,65.7101,19.971
160120,08:00,42.2439,,137.438,79.8092,64.0,20.5028,50.6378,67.9755,43.3657,28.5529
160120,16:00,34.3952,69.0,45.3433,80.8532,56.0,13.4306,49.1466,172.852,48.2759,8.92896
160121,00:00,59.7798,46.0,69.0259,67.9076,76.0,9.1025,80.428,10.8573,36.2478,10.3526
160121,08:00,19.2247,24.0,66.9151,17.2736,68.0,12.1953,37.5668,42.5701,12.3,12.6474
160121,16:00,22.6717,28.0,41.0924,35.4392,59.0,13.87,36.1919,39.4086,10.6802,4.05457
160122,00:00,33.0602,34.0,32.3757,40.6592,48.0,11.0169,47.0282,86.4518,21.069,19.0565
160122,08:00,,21.0,61.0606,30.3236,59.0,9.02194,63.8438,14.0088,22.8222,39.7888
160122,16:00,30.5232,46.0,84.0112,31.994,75.0,27.3817,82.8043,20.1765,44.4347,18.9164
160123,00:00,92.5312,73.0,226.881,64.2536,47.0,34.0025,149.68,56.2315,86.7253,33.0552
160123,08:00,62.8047,,208.786,84.9248,49.0,40.82,122.004,91.5311,90.8,40.1084
160123,16:00,43.0988,,190.143,62.6876,24.0,55.3233,56.6697,47.5931,73.7953,44.8426
160124,00:00,36.6474,,157.291,95.2604,63.0,67.9719,49.7717,80.8301,90.2399,44.2204
160124,08:00,14.3668,,49.7337,111.9644,38.0,32.37,53.2127,103.37,,7.30379
160124,16:00,26.8006,,73.7926,72.9188,97.0,5.20167,55.9948,85.6737,27.1987,17.272
160125,00:00,60.8438,,82.0572,30.0104,76.0,5.78778,71.6394,10.9564,52.0,18.8981
160125,08:00,19.7297,,84.9215,32.516,19.0,18.2983,20.162,26.4919,25.3,6.99584
160125,16:00,27.7319,44.0,27.587,33.038,35.0,20.1089,29.6221,49.6485,17.4712,11.0097
160126,00:00,22.3667,47.0,49.9055,52.4564,29.0,45.5089,90.4657,41.6912,31.607,7.71038
160126,08:00,21.2415,34.0,52.1423,28.862,21.0,9.76222,22.6817,17.6945,14.3959,13.6836
160126,16:00,29.7253,25.0,46.0782,34.8128,23.0,6.295,44.0533,24.1865,24.7215,10.4182
160127,00:00,25.4468,36.0,94.2408,45.8792,45.0,13.0611,17.3691,27.9151,40.4873,15.6583
160127,08:00,24.9411,23.0,78.5877,32.7248,34.0,5.22889,22.8077,27.7854,20.3,6.68858
160127,16:00,14.1974,40.0,34.8874,23.4332,23.0,6.88444,24.5448,19.6432,16.3413,6.16295
160128,00:00,11.0192,22.0,64.0125,22.598,34.0,2.73278,18.8978,17.8063,20.7479,4.89815
160128,08:00,18.5748,10.0,25.4651,13.3064,25.0,3.41639,11.2773,12.935,10.5099,6.92647
160128,16:00,11.3132,4.0,9.6183,7.7732,8.0,6.28806,17.4974,8.6834,11.0641,3.05968
160129,00:00,21.9793,37.0,75.9437,16.1252,,8.6,42.8321,8.88227,24.1,5.03389
160129,08:00,32.9807,28.0,99.6381,26.9828,1.0,8.48778,108.795,14.9896,20.7823,11.413
160129,16:00,23.6881,32.0,26.8481,20.1968,6.0,16.7008,23.4093,16.0525,15.7076,8.30545
160130,00:00,13.9887,15.0,73.8506,20.7188,32.0,10.0675,17.4236,16.1343,12.3406,4.23693
160130,08:00,11.0664,1.0,32.1844,11.3228,34.0,6.31972,11.2873,9.22037,4.09992,2.81454
160130,16:00,9.75568,28.0,15.3538,21.2408,11.0,5.79972,14.8988,12.6265,6.685,4.70204
160131,00:00,10.8721,24.0,18.4721,23.3288,25.0,4.09472,33.6754,11.0239,5.15358,11.7903
160131,08:00,9.56724,3.0,3.21703,7.3556,6.0,6.48806,5.37931,6.90269,7.22658,4.13328
160131,16:00,12.707,13.0,14.7193,13.724,18.0,8.47611,10.9922,7.79545,,6.28081
160201,00:00,17.2654,12.0,32.758,12.5756,17.0,6.66528,16.2364,10.7285,12.1981,7.16488
160201,08:00,14.2337,14.0,25.33,16.2296,19.0,5.84278,13.6532,5.51061,9.5,11.1213
160201,16:00,26.7902,29.0,37.1594,16.856,6.0,6.43,16.7464,11.5201,12.0382,7.26267
160202,00:00,8.34158,11.0,76.3444,22.7024,29.0,5.87417,15.3001,13.895,9.86425,8.16933
160202,08:00,12.546,7.0,12.0018,8.6084,12.0,6.00361,9.17726,6.21029,5.647,10.3933
160202,16:00,10.5184,12.0,14.7919,14.0372,11.0,6.73667,10.2791,10.1917,5.61525,7.33433
160203,00:00,10.3396,2.0,11.6984,6.8336,13.0,4.78861,10.9429,6.54005,8.71025,5.00269
160203,08:00,12.1114,5.0,7.97278,8.0864,12.0,6.86528,12.0732,6.40015,6.46808,4.16403
160203,16:00,13.7008,11.0,15.9889,12.5756,12.0,8.5225,12.8506,9.47163,14.1689,6.76404
160204,00:00,12.67,,41.6919,17.2736,10.0,13.1394,38.658,9.8157,23.5298,7.28289
160204,08:00,6.78955,,21.5933,13.4108,8.0,5.56222,13.4024,9.72711,10.3168,7.29964
160204,16:00,16.0924,11.0,27.9978,13.4108,0.0,8.92167,11.9645,9.49681,12.4353,9.30932
160205,00:00,,20.0,28.1821,24.164,0.0,7.30583,24.2788,9.9235,11.9587,15.0542
160205,08:00,14.8788,13.0,25.3834,21.3452,13.0,11.6058,15.2249,7.38318,12.0705,5.91764
160205,16:00,15.4353,14.0,42.0885,17.7956,14.0,11.7006,17.4821,12.2349,8.67925,11.9603
160206,00:00,24.6906,49.0,74.1278,31.472,12.0,23.2792,24.9225,20.5697,21.1005,13.1129
160206,08:00,18.1504,33.0,71.9299,36.9008,35.0,11.6936,11.5632,31.8736,25.4,19.7226
160206,16:00,16.6999,42.0,33.885,35.5436,23.0,18.9817,16.2866,47.7402,14.0,11.4778
160207,00:00,29.9463,36.0,126.418,42.434,31.0,19.5911,91.3594,47.8087,22.1,11.3571
160207,08:00,25.9556,25.0,24.7106,31.994,30.0,16.3636,66.0119,44.102,23.4,18.7766
160207,16:00,24.6624,38.0,18.0153,23.8508,19.0,17.5589,11.5966,25.6823,15.5531,8.24463
160208,00:00,15.1586,34.0,31.0514,23.7464,36.0,26.21,11.0056,31.0944,35.9193,17.7499
160208,08:00,16.5072,12.0,57.4027,24.3728,22.0,18.46,15.4172,35.5215,22.3889,6.81125
160208,16:00,11.7496,17.0,15.3585,24.4772,23.0,6.18222,14.6648,21.1152,10.2462,7.28755
160209,00:00,10.1555,19.0,14.6362,21.3452,21.0,6.49028,18.7026,24.0318,4.554,3.67902
160209,08:00,10.335,,21.4398,6.1028,16.0,4.1475,,5.13744,5.28178,6.48114
160209,16:00,12.1195,14.0,10.5885,10.3832,5.0,3.9736,8.66228,13.2523,9.70111,5.76264
160210,00:00,8.19556,17.0,7.42946,21.9716,16.0,7.37944,,20.3292,7.53733,6.67445
160210,08:00,6.80213,11.0,17.8214,10.9052,13.0,1.77528,11.3124,17.7904,7.7,4.01984
160210,16:00,12.9181,12.0,15.9093,12.2624,18.0,8.78194,20.3997,6.96792,9.36067,12.9135
160211,00:00,18.0792,16.0,37.3722,12.0536,29.0,23.9003,34.4194,11.3098,93.3298,12.2753
160211,08:00,11.7257,13.0,19.8254,26.8784,9.0,13.7656,17.0892,9.17571,19.0253,10.0429
160211,16:00,9.91779,18.0,15.8037,27.6092,10.0,11.9531,11.9607,33.421,12.7542,13.9223
160212,00:00,25.9766,17.0,41.0152,28.1312,31.0,9.05889,9.95198,,11.8,10.0277
160212,08:00,28.7562,20.0,39.9662,26.8784,33.0,4.83694,25.6073,,18.198,13.6937
160212,16:00,17.8999,31.0,24.4027,22.7024,30.0,6.67194,16.4176,,24.0449,12.4302
160213,00:00,61.9097,,48.8473,16.5428,26.0,17.6636,23.7501,,61.1231,34.2703
160213,08:00,63.7163,,33.8667,25.6256,20.0,18.985,37.4578,,77.2442,21.2059
160213,16:00,55.5887,,42.6234,34.8128,36.0,18.8753,30.4661,,48.9042,53.1604
160214,00:00,66.6171,,105.552,37.3184,11.0,12.7628,106.591,,63.1578,28.6101
160214,08:00,59.308,52.0,89.2215,34.1864,7.0,15.5731,54.7042,,54.4158,42.07
160214,16:00,9.42482,53.0,16.8208,39.1976,17.0,12.6136,11.277,,69.2482,37.7002
160215,00:00,94.282,57.0,32.3839,46.2968,15.0,15.3672,30.8932,,104.625,37.4747
160215,08:00,36.5785,44.0,36.5234,36.17,27.0,12.2414,45.0549,,101.772,34.8453
160215,16:00,20.7715,65.0,41.4925,46.8188,22.0,9.97056,50.8672,,76.898,26.3415
160216,00:00,21.4624,37.0,44.7538,67.1768,14.0,4.6,39.8403,,45.9913,2.19174
160216,08:00,12.3111,4.0,41.4925,14.3504,17.0,5.83167,13.9346,,12.1979,6.84137
160216,16:00,25.2026,14.0,28.6478,11.9492,10.0,4.61111,17.0,,8.56203,23.6328
160217,00:00,55.4514,21.0,30.8586,21.9716,17.0,21.2875,47.5813,,26.6992,87.1325
160217,08:00,33.0727,23.0,31.397,26.9828,16.0,40.9078,14.5338,,21.9618,32.5984
160217,16:00,26.9235,19.0,29.5209,18.422,10.0,6.09417,25.8705,,13.1962,15.8327
160218,00:00,47.1571,19.0,45.5404,19.466,6.0,6.10222,39.2609,,23.1971,27.9495
160218,08:00,58.4065,20.0,39.6305,32.7248,10.0,20.21,77.0863,,41.8768,19.8508
160218,16:00,31.0431,57.0,57.1146,42.0164,16.0,15.9203,103.324,,29.0237,27.396
160219,00:00,44.4383,63.0,66.0574,38.6756,27.0,18.2211,77.3992,,49.5533,47.8713
160219,08:00,34.4955,12.0,40.0708,24.3728,17.0,14.3958,20.0,,43.9,27.915
160219,16:00,32.3259,17.0,46.2609,23.9552,19.0,12.4194,37.3863,,,68.4376
160220,00:00,37.1268,23.0,30.4526,16.6472,21.0,17.6919,40.5356,,45.4934,56.8609
160220,08:00,40.2383,67.0,41.8903,28.4444,16.0,11.4778,40.7292,,41.5,29.7384
160220,16:00,9.03411,,32.0302,39.302,30.0,14.2186,24.9769,,24.7,10.6436
160221,00:00,7.99968,16.0,48.9605,35.4392,43.0,3.14222,13.5977,,7.4,4.91402
160221,08:00,6.81231,3.0,12.8952,,22.0,3.15944,4.77434,,5.7,9.80177
160221,16:00,4.23479,12.0,9.57977,,16.0,4.46167,12.6279,,8.45292,12.8283
160222,00:00,9.6092,10.0,30.8027,,11.0,5.67194,7.94956,,8.6,2.43107
160222,08:00,10.3336,,12.3378,,5.0,7.60528,7.88877,,1.32458,4.812
160222,16:00,10.6565,11.0,9.48137,7.0424,8.0,6.76861,7.12959,,8.81714,8.44936
160223,00:00,13.7635,10.0,25.2873,9.026,5.0,5.72833,20.6478,,8.20022,5.40531
160223,08:00,5.86186,7.0,16.6287,17.7956,9.0,6.135,15.1683,,,9.84204
160223,16:00,12.8548,,16.4581,21.7628,14.0,6.64139,84.2938,,9.07694,2.92394
160224,00:00,19.2206,28.0,72.2532,44.0,27.0,5.295,75.7616,,15.8425,4.8671
160224,08:00,10.576,9.0,40.5109,23.7464,24.0,6.34778,17.8957,,11.9725,6.0338
160224,16:00,8.7854,7.0,17.3861,10.3832,9.0,4.60194,13.0015,,9.09392,7.44896
160225,00:00,31.47,40.0,41.3577,25.3124,7.0,5.4825,28.4043,,23.6,11.9215
160225,08:00,58.1658,37.0,71.2669,27.818,27.0,7.2225,61.8563,,20.9,6.21357
160225,16:00,19.2516,33.0,30.6665,14.6636,12.0,7.70583,28.7879,,19.2125,6.28453
160226,00:00,35.9851,59.0,71.2904,46.2968,21.0,9.06389,54.9224,,64.755,13.2559
160226,08:00,30.1842,46.0,37.974,50.8904,26.0,13.4653,63.4357,,24.44,10.925
160226,16:00,15.4886,35.0,31.1508,36.0656,25.0,8.22806,18.6567,,27.6875,3.6871
160227,00:00,41.4213,66.0,130.546,61.5392,33.0,15.0228,173.61,,47.2075,12.6156
160227,08:00,51.7388,36.0,124.843,73.5452,32.0,12.2928,80.6583,,61.1625,23.8767
160227,16:00,48.7557,19.0,24.7146,38.4668,40.0,15.415,22.3892,,24.6075,10.2839
160228,00:00,40.7646,53.0,68.4341,45.044,50.0,23.5439,58.8335,,32.07,35.6856
160228,08:00,67.5228,45.0,42.7285,36.2744,24.0,23.0594,32.2376,,,37.0127
160228,16:00,34.1451,57.0,47.2121,61.6436,29.0,19.7908,82.3487,,49.8,23.8717
160229,00:00,59.405,57.0,42.4057,67.49,41.0,6.41083,40.9631,,57.5,60.0955
160229,08:00,32.0555,49.0,46.1325,42.5384,33.0,21.8708,56.2959,,40.2,35.3656
160229,16:00,46.0288,40.0,42.5053,35.0216,31.0,8.23,44.7251,,28.7,16.8781
160301,00:00,,14.0,26.75,27.818,13.0,7.44806,19.468,,,31.0475
160301,08:00,25.4983,7.0,12.7279,17.9,19.0,9.76417,12.2778,,19.445,21.6618
160301,16:00,32.0398,20.0,35.6313,28.9664,21.0,9.56083,27.8925,,27.3,20.3313
160302,00:00,36.1288,36.0,45.89,26.774,13.0,26.6619,27.8102,,46.89,31.9209
160302,08:00,43.5242,31.0,39.8211,37.0052,22.0,23.4594,29.5761,,40.5,40.492
160302,16:00,33.263,48.0,26.7778,19.6748,37.0,16.1733,17.3456,,,18.3878
160303,00:00,41.2192,65.0,46.1491,42.0164,38.0,25.7847,27.2642,,40.2,9.23445
160303,08:00,21.5715,,34.7458,31.6808,26.0,27.4017,33.0114,,45.9,24.4689
160303,16:00,19.0906,53.0,53.0565,31.1588,27.0,29.8261,46.2226,,36.9747,11.465
160304,00:00,79.1756,51.0,40.4197,49.0112,16.0,24.8639,63.0199,,35.9477,34.5632
160304,08:00,36.3089,47.0,46.1433,26.0432,16.0,17.9028,32.2313,,64.8,44.2647
160304,16:00,28.5041,53.0,47.7282,20.7188,19.0,5.26222,53.4102,,48.51,14.6646
160305,00:00,48.8806,45.0,63.9305,33.3512,22.0,15.8653,95.9524,,52.01,36.8921
160305,08:00,85.7901,29.0,63.7023,32.3072,19.0,10.1492,43.2642,,56.48,56.0139
160305,16:00,29.8374,44.0,38.9819,47.654,19.0,8.07333,21.3765,,49.22,40.365
160306,00:00,44.5946,43.0,43.8312,55.7972,25.0,14.2256,12.7943,,54.08,56.2703
160306,08:00,23.5202,22.0,34.3424,30.95,,16.0144,12.5218,,52.75,54.2445
160306,16:00,15.606,40.0,11.3908,29.906,,20.8444,17.0313,,51.8,26.925
160307,00:00,27.1878,50.0,70.56,28.34,,8.20806,100.17,,31.56,26.1046
160307,08:00,34.3963,44.0,63.6381,42.956,,9.84667,77.3045,,35.8,31.1765
160307,16:00,12.2249,20.0,45.2035,25.4168,27.0,16.3828,,13.792,15.69,30.7451
160308,00:00,,62.0,37.7549,45.1484,14.0,33.6078,89.4349,35.2358,31.7,28.1847
160308,08:00,23.7697,39.0,27.3018,25.73,0.0,9.50444,26.5763,30.4309,28.48,77.4485
160308,16:00,42.6026,26.0,28.2206,25.208,13.0,6.88028,51.5027,19.863,,9.6511
160309,00:00,18.5852,53.0,75.0085,33.9776,32.0,22.4681,62.4542,17.2818,47.8,30.5322
160309,08:00,29.1044,17.0,51.1463,69.6824,62.0,56.2131,29.3656,48.0421,17.1,49.8671
160309,16:00,23.1453,4.0,36.5749,21.8672,14.0,16.4803,60.1766,28.3086,25.2,32.2484
160310,00:00,66.2521,24.0,40.3524,16.856,17.0,18.1914,35.8156,18.6011,49.83,56.437
160310,08:00,42.0102,17.0,31.9989,16.4384,17.0,11.5922,30.0722,15.8122,29.3,35.6582
160310,16:00,20.7027,18.0,31.7739,26.3564,11.0,6.96412,37.1532,9.405,18.5,18.4135
160311,00:00,35.1755,23.0,29.0967,28.9664,17.0,5.05111,21.6621,13.1411,26.53,
160311,08:00,34.0049,20.0,28.8708,15.6032,13.0,6.27,19.5888,13.9258,26.1,12.2744
160311,16:00,,12.0,45.0859,18.6308,12.0,4.32028,30.1976,18.1669,23.61,13.7125
160312,00:00,29.7385,23.0,28.006,28.862,15.0,5.29306,25.8254,28.7498,20.8,19.4357
160312,08:00,25.1858,21.0,22.6143,23.8508,14.0,4.76333,19.9232,18.4419,12.0,7.9366
160312,16:00,20.8734,29.0,22.6507,27.9224,17.0,5.09,21.3946,17.0472,23.61,14.2704
160313,00:00,43.0766,22.0,22.9553,29.6972,20.0,5.08278,23.9109,32.8333,,29.0783
160313,08:00,25.7073,7.0,18.2202,14.9768,16.0,9.76444,21.1939,17.9555,,4.41159
160313,16:00,31.2796,10.0,25.0237,18.7352,13.0,9.00028,16.1445,7.09954,12.9,13.5162
160314,00:00,39.6351,52.0,31.7229,29.4884,19.0,11.5364,48.7986,60.9634,31.96,34.7073
160314,08:00,39.311,51.0,39.0668,51.6212,62.0,8.82028,52.9619,39.8976,23.36,18.0865
160314,16:00,24.4968,,20.8466,41.1812,23.0,10.7433,21.6788,20.2512,,33.5108
